datetime,temperature,humidity,pressure,wind_speed,cloud_cover,visibility,hour,day_of_year,solar_radiation
2025-01-01 00:00:00,14.5,86.0,1007.3,4.3,54.2,16.9,0,1,0.0
2025-01-01 01:00:00,18.0,82.4,999.8,4.6,55.0,17.0,1,1,0.0
2025-01-01 02:00:00,16.0,74.9,1010.9,5.1,0.0,20.3,2,1,0.0
2025-01-01 03:00:00,22.5,68.7,1018.3,2.7,0.0,21.6,3,1,0.0
2025-01-01 04:00:00,24.5,71.5,1007.8,6.6,15.6,14.6,4,1,0.0
2025-01-01 05:00:00,18.3,62.3,1008.9,5.0,92.7,7.5,5,1,0.0
2025-01-01 06:00:00,18.8,60.7,989.2,4.1,42.5,13.1,6,1,0.0
2025-01-01 07:00:00,20.9,79.7,1023.5,5.9,39.1,15.0,7,1,332.5
2025-01-01 08:00:00,18.6,66.7,1019.7,3.9,68.0,14.2,8,1,420.7
2025-01-01 09:00:00,15.7,76.8,1020.0,4.1,97.0,8.0,9,1,208.2
2025-01-01 10:00:00,14.1,72.7,1024.8,4.4,64.0,14.6,10,1,406.3
2025-01-01 11:00:00,16.5,88.0,1009.3,1.1,18.7,19.4,11,1,433.1
2025-01-01 12:00:00,15.5,76.9,1017.7,2.9,48.3,15.1,12,1,38.0
2025-01-01 13:00:00,11.0,75.2,1015.7,3.0,39.2,17.7,13,1,0.0
2025-01-01 14:00:00,13.3,82.0,1016.4,2.1,69.5,11.5,14,1,0.0
2025-01-01 15:00:00,10.3,93.5,1016.1,3.9,44.4,14.6,15,1,0.0
2025-01-01 16:00:00,9.3,87.6,1035.1,0.8,38.7,18.3,16,1,33.5
2025-01-01 17:00:00,12.1,91.9,1012.4,0.9,51.1,14.4,17,1,17.6
2025-01-01 18:00:00,12.6,95.0,1001.7,1.5,31.0,18.0,18,1,31.3
2025-01-01 19:00:00,11.2,81.4,1005.1,0.7,46.1,14.5,19,1,0.0
2025-01-01 20:00:00,14.0,95.0,1017.1,0.9,59.1,10.3,20,1,0.0
2025-01-01 21:00:00,15.5,93.1,1014.6,1.6,40.1,15.7,21,1,0.0
2025-01-01 22:00:00,12.0,90.6,1029.9,3.0,19.5,19.5,22,1,0.0
2025-01-01 23:00:00,14.5,79.2,1020.0,4.7,7.1,19.7,23,1,0.0
2025-01-02 00:00:00,13.8,78.3,1016.0,2.8,39.4,19.2,0,2,0.0
2025-01-02 01:00:00,15.0,70.4,1008.2,4.1,36.1,14.2,1,2,0.0
2025-01-02 02:00:00,17.6,75.5,1017.5,4.5,47.7,18.5,2,2,0.0
2025-01-02 03:00:00,18.5,71.2,1027.9,4.3,100.0,10.9,3,2,0.0
2025-01-02 04:00:00,15.7,70.2,1018.9,4.2,93.6,10.8,4,2,0.0
2025-01-02 05:00:00,24.4,67.2,1005.4,6.1,100.0,12.4,5,2,0.0
2025-01-02 06:00:00,20.8,66.8,1007.7,5.5,60.6,15.4,6,2,8.9
2025-01-02 07:00:00,15.1,69.3,1035.1,6.1,29.5,19.1,7,2,336.9
2025-01-02 08:00:00,21.7,70.5,1012.3,5.7,48.9,15.6,8,2,514.3
2025-01-02 09:00:00,21.0,78.4,1025.1,4.0,1.2,18.2,9,2,982.8
2025-01-02 10:00:00,16.4,75.8,1005.1,2.9,5.3,20.9,10,2,820.4
2025-01-02 11:00:00,17.7,71.5,995.1,3.5,40.6,17.4,11,2,290.3
2025-01-02 12:00:00,13.0,78.5,1009.0,4.0,32.9,16.9,12,2,0.0
2025-01-02 13:00:00,14.3,90.3,1008.4,3.0,23.0,16.6,13,2,0.0
2025-01-02 14:00:00,10.1,85.3,1007.9,2.1,25.7,20.0,14,2,0.0
2025-01-02 15:00:00,13.5,88.5,1002.7,1.6,14.5,18.4,15,2,23.0
2025-01-02 16:00:00,9.9,86.5,1017.1,1.8,34.9,19.8,16,2,0.0
2025-01-02 17:00:00,9.0,86.2,1009.5,3.5,52.5,15.7,17,2,0.0
2025-01-02 18:00:00,11.1,87.6,1001.8,1.9,40.5,17.6,18,2,1.6
2025-01-02 19:00:00,6.8,78.7,1013.1,1.5,86.3,8.5,19,2,0.0
2025-01-02 20:00:00,8.3,86.8,1009.7,1.3,68.9,13.8,20,2,0.0
2025-01-02 21:00:00,11.1,92.2,1008.4,0.8,37.4,13.1,21,2,0.0
2025-01-02 22:00:00,10.7,80.1,1010.0,3.1,52.2,15.5,22,2,0.0
2025-01-02 23:00:00,10.8,80.8,1020.7,2.6,83.5,11.5,23,2,0.0
2025-01-03 00:00:00,18.0,74.1,1032.2,3.2,0.0,19.4,0,3,0.0
2025-01-03 01:00:00,21.7,79.9,1019.2,2.8,19.2,18.7,1,3,0.0
2025-01-03 02:00:00,17.7,72.6,1024.9,5.8,57.4,17.4,2,3,0.0
2025-01-03 03:00:00,20.7,76.0,1027.2,4.5,49.3,11.8,3,3,0.0
2025-01-03 04:00:00,23.5,73.8,1034.4,4.6,42.5,17.6,4,3,0.0
2025-01-03 05:00:00,18.0,64.9,995.8,5.1,38.1,13.4,5,3,0.0
2025-01-03 06:00:00,20.3,74.3,1017.1,5.4,75.0,9.0,6,3,0.0
2025-01-03 07:00:00,23.4,66.9,1003.8,4.0,0.0,21.0,7,3,490.5
2025-01-03 08:00:00,20.2,71.7,996.5,5.4,28.4,16.3,8,3,675.6
2025-01-03 09:00:00,23.3,80.8,1003.6,6.2,16.4,16.2,9,3,879.3
2025-01-03 10:00:00,19.4,77.0,1010.3,3.2,72.5,12.8,10,3,372.4
2025-01-03 11:00:00,19.0,78.4,1004.8,4.7,25.2,14.8,11,3,417.4
2025-01-03 12:00:00,14.7,86.5,1016.8,3.3,13.6,16.1,12,3,3.6
2025-01-03 13:00:00,15.1,74.2,1019.7,1.5,0.0,21.3,13,3,0.0
2025-01-03 14:00:00,9.7,80.3,1016.9,2.8,6.2,21.1,14,3,1.7
2025-01-03 15:00:00,12.9,89.7,1025.2,1.8,79.2,12.4,15,3,20.6
2025-01-03 16:00:00,10.8,91.4,1022.3,0.0,40.1,17.2,16,3,0.0
2025-01-03 17:00:00,12.1,95.0,1006.0,1.9,55.9,11.4,17,3,0.0
2025-01-03 18:00:00,9.5,90.5,1008.4,0.4,48.5,16.3,18,3,0.0
2025-01-03 19:00:00,11.9,90.4,1028.4,0.0,94.0,9.9,19,3,0.0
2025-01-03 20:00:00,11.7,91.5,1022.7,1.3,49.1,18.4,20,3,0.0
2025-01-03 21:00:00,9.2,89.8,1020.5,1.7,61.2,16.2,21,3,0.0
2025-01-03 22:00:00,12.8,86.1,1017.8,0.8,4.5,16.3,22,3,0.0
2025-01-03 23:00:00,13.5,79.5,1025.3,1.2,7.9,16.8,23,3,0.0
2025-01-04 00:00:00,20.2,77.5,1008.9,2.3,20.8,21.2,0,4,0.0
2025-01-04 01:00:00,17.8,71.9,1003.3,2.9,43.1,16.5,1,4,0.0
2025-01-04 02:00:00,18.9,69.5,1001.8,4.7,59.9,11.8,2,4,0.0
